"State","Gender","Year","Name","Count"
"CA","F",1941,"Diane",662
"CA","F",1941,"Kelly",6
"CA","F",1942,"Diane",931
"CA","F",1943,"Diane",1000
"CA","F",1943,"Kelly",5
"CA","F",1944,"Diane",928
"CA","F",1944,"Kelly",7
"CA","F",1945,"Diane",1074
"CA","F",1945,"Kelly",6
"CA","F",1946,"Diane",1205
"CA","F",1946,"Kelly",7
"CA","F",1947,"Diane",1289
"CA","F",1947,"Kelly",8
"CA","F",1948,"Diane",1216
"CA","F",1948,"Kelly",16
"CA","F",1949,"Diane",1237
"CA","F",1949,"Kelly",26
"CA","F",1950,"Diane",1214
"CA","F",1950,"Kelly",21
"CA","F",1951,"Diane",1357
"CA","F",1951,"Kelly",36
"CA","F",1951,"Gregory",5
"CA","F",1952,"Diane",1535
"CA","F",1952,"Kelly",64
"CA","F",1952,"Gregory",5
"CA","F",1953,"Diane",1534
"CA","F",1953,"Kelly",54
"CA","F",1954,"Diane",1573
"CA","F",1954,"Kelly",71
"CA","F",1955,"Diane",1543
"CA","F",1955,"Kelly",110
"CA","F",1956,"Diane",1631
"CA","F",1956,"Kelly",134
"CA","F",1957,"Diane",1638
"CA","F",1957,"Kelly",306
"CA","F",1957,"Gregory",7
"CA","F",1958,"Diane",1634
"CA","F",1958,"Kelly",615
"CA","F",1958,"Gregory",5
"CA","F",1959,"Diane",1543
"CA","F",1959,"Kelly",840
"CA","F",1960,"Diane",1429
"CA","F",1960,"Kelly",1172
"CA","F",1960,"Gregory",5
"CA","F",1961,"Diane",1407
"CA","F",1961,"Kelly",1245
"CA","F",1961,"Gregory",12
"CA","F",1962,"Kelly",1450
"CA","F",1962,"Diane",1268
"CA","F",1962,"Gregory",12
"CA","F",1963,"Kelly",1572
"CA","F",1963,"Diane",1164
"CA","F",1963,"Gregory",10
"CA","F",1964,"Kelly",1408
"CA","F",1964,"Diane",1059
"CA","F",1965,"Kelly",1372
"CA","F",1965,"Diane",948
"CA","F",1965,"Gregory",10
"CA","F",1966,"Kelly",1274
"CA","F",1966,"Diane",771
"CA","F",1967,"Kelly",1260
"CA","F",1967,"Diane",746
"CA","F",1968,"Kelly",1459
"CA","F",1968,"Diane",602
"CA","F",1968,"Gregory",6
"CA","F",1969,"Kelly",1246
"CA","F",1969,"Diane",582
"CA","F",1969,"Gregory",6
"CA","F",1970,"Kelly",1077
"CA","F",1970,"Diane",508
"CA","F",1970,"Gregory",6
"CA","F",1971,"Kelly",866
"CA","F",1971,"Diane",402
"CA","F",1971,"Gregory",9
"CA","F",1972,"Kelly",772
"CA","F",1972,"Diane",297
"CA","F",1972,"Gregory",5
"CA","F",1973,"Kelly",725
"CA","F",1973,"Diane",268
"CA","F",1973,"Gregory",7
"CA","F",1974,"Kelly",834
"CA","F",1974,"Diane",230
"CA","F",1974,"Gregory",6
"CA","F",1975,"Kelly",810
"CA","F",1975,"Diane",196
"CA","F",1975,"Gregory",6
"CA","F",1976,"Kelly",907
"CA","F",1976,"Diane",208
"CA","F",1976,"Gregory",8
"CA","F",1977,"Kelly",1299
"CA","F",1977,"Diane",202
"CA","F",1977,"Gregory",6
"CA","F",1978,"Kelly",1258
"CA","F",1978,"Diane",155
"CA","F",1978,"Gregory",6
"CA","F",1979,"Kelly",1149
"CA","F",1979,"Diane",195
"CA","F",1980,"Kelly",1064
"CA","F",1980,"Diane",175
"CA","F",1981,"Kelly",1057
"CA","F",1981,"Diane",174
"CA","F",1982,"Kelly",1101
"CA","F",1982,"Diane",184
"CA","F",1982,"Gregory",5
"CA","F",1983,"Kelly",1000
"CA","F",1983,"Diane",197
"CA","F",1983,"Gregory",9
"CA","F",1984,"Kelly",996
"CA","F",1984,"Diane",218
"CA","M",1941,"Jim",321
"CA","M",1941,"Gregory",78
"CA","M",1941,"Kelly",9
"CA","M",1942,"Jim",485
"CA","M",1942,"Gregory",104
"CA","M",1942,"Kelly",20
"CA","M",1943,"Jim",517
"CA","M",1943,"Gregory",99
"CA","M",1943,"Kelly",18
"CA","M",1944,"Jim",597
"CA","M",1944,"Gregory",154
"CA","M",1944,"Kelly",17
"CA","M",1945,"Jim",581
"CA","M",1945,"Gregory",295
"CA","M",1945,"Kelly",16
"CA","M",1946,"Jim",636
"CA","M",1946,"Gregory",623
"CA","M",1946,"Kelly",15
"CA","M",1947,"Gregory",1026
"CA","M",1947,"Jim",709
"CA","M",1947,"Kelly",24
"CA","M",1947,"Diane",5
"CA","M",1948,"Gregory",1053
