"X","Date","Team","Team.Location","Team.Score","Opponent","Opponent.Score","Team.Result"
1,"11/13/15","Old Dominion","Neutral",67,"Niagara",50,"Win"
2,"11/13/15","Niagara","Neutral",50,"Old Dominion",67,"Loss"
3,"11/13/15","Sacred Heart","Neutral",76,"Quinnipiac",64,"Win"
4,"11/13/15","Quinnipiac","Neutral",64,"Sacred Heart",76,"Loss"
5,"11/13/15","Texas","Neutral",71,"Washington",77,"Loss"
6,"11/13/15","Wright State","Neutral",77,"South Dakota",69,"Win"
7,"11/13/15","South Dakota","Neutral",69,"Wright State",77,"Loss"
8,"11/13/15","Fairfield","Neutral",57,"Yale",70,"Loss"
9,"11/13/15","Yale","Neutral",70,"Fairfield",57,"Win"
10,"11/13/15","Washington","Neutral",77,"Texas",71,"Win"
11,"11/13/15","Temple","Neutral",67,"North Carolina",91,"Loss"
12,"11/13/15","North Carolina","Neutral",91,"Temple",67,"Win"
13,"11/13/15","Nevada","Neutral",73,"Coastal Carolina",56,"Win"
14,"11/13/15","Coastal Carolina","Neutral",56,"Nevada",73,"Loss"
15,"11/13/15","Denver","Neutral",58,"Milwaukee",71,"Loss"
16,"11/13/15","Milwaukee","Neutral",71,"Denver",58,"Win"
17,"11/13/15","Iowa State","Neutral",68,"Colorado",62,"Win"
18,"11/13/15","Colorado","Neutral",62,"Iowa State",68,"Loss"
19,"11/14/15","Cal State Northridge","Neutral",72,"Wright State",67,"Win"
20,"11/14/15","Wright State","Neutral",67,"Cal State Northridge",72,"Loss"
21,"11/14/15","Akron","Neutral",65,"Cleveland State",53,"Win"
22,"11/14/15","Cleveland State","Neutral",53,"Akron",65,"Loss"
23,"11/14/15","Lipscomb","Neutral",65,"Milwaukee",71,"Loss"
24,"11/14/15","Milwaukee","Neutral",71,"Lipscomb",65,"Win"
25,"11/15/15","Cal State Northridge","Neutral",72,"South Dakota",76,"Loss"
26,"11/15/15","South Dakota","Neutral",76,"Cal State Northridge",72,"Win"
27,"11/15/15","Hawaii","Neutral",74,"Coastal Carolina",63,"Win"
28,"11/15/15","Coastal Carolina","Neutral",63,"Hawaii",74,"Loss"
29,"11/15/15","Nevada","Neutral",83,"Montana State",62,"Win"
30,"11/15/15","Montana State","Neutral",62,"Nevada",83,"Loss"
31,"11/15/15","Lipscomb","Neutral",69,"Denver",82,"Loss"
32,"11/15/15","Denver","Neutral",82,"Lipscomb",69,"Win"
33,"11/16/15","James Madison","Neutral",73,"West Virginia",86,"Loss"
34,"11/16/15","West Virginia","Neutral",86,"James Madison",73,"Win"
35,"11/17/15","Kansas","Neutral",73,"Michigan State",79,"Loss"
36,"11/17/15","Michigan State","Neutral",79,"Kansas",73,"Win"
37,"11/17/15","Duke","Neutral",63,"Kentucky",74,"Loss"
38,"11/17/15","Kentucky","Neutral",74,"Duke",63,"Win"
39,"11/19/15","Long Beach State","Neutral",80,"Seton Hall",77,"Win"
40,"11/19/15","Seton Hall","Neutral",77,"Long Beach State",80,"Loss"
41,"11/19/15","Missouri State","Neutral",59,"Butler",93,"Loss"
42,"11/19/15","Miami (FL)","Neutral",105,"Mississippi State",79,"Win"
43,"11/19/15","Mississippi State","Neutral",79,"Miami (FL)",105,"Loss"
44,"11/19/15","Butler","Neutral",93,"Missouri State",59,"Win"
45,"11/19/15","Towson","Neutral",52,"Oklahoma State",69,"Loss"
46,"11/19/15","Oklahoma State","Neutral",69,"Towson",52,"Win"
47,"11/19/15","Texas Tech","Neutral",63,"Utah",73,"Loss"
48,"11/19/15","Utah","Neutral",73,"Texas Tech",63,"Win"
49,"11/19/15","George Mason","Neutral",68,"Mississippi",62,"Win"
50,"11/19/15","Mississippi","Neutral",62,"George Mason",68,"Loss"
51,"11/19/15","Virginia","Neutral",82,"Bradley",57,"Win"
52,"11/19/15","Bradley","Neutral",57,"Virginia",82,"Loss"
53,"11/19/15","Minnesota","Neutral",70,"Temple",75,"Loss"
54,"11/19/15","Temple","Neutral",75,"Minnesota",70,"Win"
55,"11/20/15","Oklahoma State","Neutral",68,"George Mason",71,"Loss"
56,"11/20/15","George Mason","Neutral",71,"Oklahoma State",68,"Win"
57,"11/20/15","DePaul","Neutral",61,"South Carolina",76,"Loss"
58,"11/20/15","Siena","Neutral",76,"Radford",62,"Win"
59,"11/20/15","Radford","Neutral",62,"Siena",76,"Loss"
60,"11/20/15","Minnesota","Neutral",74,"Missouri State",69,"Win"
61,"11/20/15","Missouri State","Neutral",69,"Minnesota",74,"Loss"
62,"11/20/15","Indiana State","Neutral",70,"Norfolk State",61,"Win"
63,"11/20/15","Norfolk State","Neutral",61,"Indiana State",70,"Loss"
64,"11/20/15","Long Beach State","Neutral",52,"Virginia",87,"Loss"
