"Name","State","Type","Avg.SAT","Size","Acceptance.Rate","Tuition"
"Alaska Pacific University","AK","Private",972,249,0.756476683937823,7560
"University of Alaska at Fairbanks","AK","Public",961,3885,0.770518358531317,5226
"University of Alaska at Anchorage","AK","Public",881,6209,0.773849878934624,5226
"Auburn University-Main Campus","AL","Public",1076,16262,0.899708532061475,6300
"Birmingham-Southern College","AL","Private",1100,1376,0.730434782608695,11660
"Huntingdon College","AL","Private",959,538,0.855263157894736,8080
"Oakwood College","AL","Private",760,1316,0.637513171759749,6639
"Spring Hill College","AL","Private",990,942,0.897800776196634,11478
"Troy State University at Troy","AL","Public",980,4343,0.870836165873555,2883
"University of Alabama at Huntsville","AL","Public",1010,2727,0.69549418604651,4960
"University of Arkansas at Pine Bluff","AR","Public",694,2993,0.937931034482754,3216
"Hendrix College","AR","Private",1089,954,0.876063183475092,8800
"John Brown University","AR","Private",993,961,0.669421487603305,6398
"Harding University","AR","Private",1020,3128,0.620569436374202,5504
"Grand Canyon University","AZ","Private",926,1364,0.790744466800803,6870
"Arizona State University Main campus","AZ","Public",974,22593,0.80474666250293,7434
"Northern Arizona University","AZ","Public",939,11249,0.837039551858769,6746
"University of Arizona","AZ","Public",983,21664,0.869237872007957,7434
"Prescott College","AZ","Private",1000,693,0.707165109034268,9800
"Azusa Pacific University","CA","Private",902,2032,0.877777777777781,15500
"Biola University","CA","Private",940,2058,0.801431127012521,11388
"California Baptist College","CA","Private",836,592,0.85064935064935,6370
"California Lutheran University","CA","Private",931,1427,0.438721136767317,12950
"California State Univ. at Fullerton","CA","Public",871,12147,0.746169220519654,8990
"California Polytechnic-San Luis","CA","Public",1002,12911,0.488669824606324,7380
"California State University at Chico","CA","Public",899,11822,0.814368770764122,5904
"Humboldt State University","CA","Public",956,5637,0.631670031727719,9979
"San Diego State University","CA","Public",851,16407,0.746649649010848,8384
"California State University at Northridge","CA","Public",809,15567,0.694864442127218,5904
"San Francisco State University","CA","Public",816,13165,0.65719591457753,8964
"San Jose State University","CA","Public",838,14392,0.785796545105568,8820
"Sonoma State University","CA","Public",968,4239,0.360234776228906,7830
"California State University at Stanislaus","CA","Public",849,2895,0.796545105566217,8868
"United States International University","CA","Private",895,237,0.521739130434782,11760
"Chapman University","CA","Private",957,1662,0.803962460896767,16624
"Claremont McKenna College","CA","Private",1270,887,0.412365591397849,17000
"Pitzer College","CA","Private",1150,750,0.556045895851721,17688
"Pomona College","CA","Private",1340,1500,0.372077708264734,17720
"Scripps College","CA","Private",1150,569,0.739181286549709,17238
"La Sierra University","CA","Private",888,1067,0.804248861911991,12180
"University of La Verne","CA","Private",903,1431,0.606762680025046,13540
"Menlo College","CA","Private",829,553,0.87301587301587,13975
"Mills College","CA","Private",1050,781,0.782608695652173,14100
"Mount St. Mary's College","CA","Private",972,1039,0.817351598173515,12474
"Pacific Christian College","CA","Private",900,414,0.850299401197604,6500
"Fresno Pacific College","CA","Private",1008,704,0.791907514450865,9900
"Point Loma Nazarene College","CA","Private",897,1889,0.849196538936961,10178
"Pepperdine University","CA","Private",1099,2488,0.533106516618687,18200
"Southern California College","CA","Private",909,784,0.883116883116884,9520
"Stanford University","CA","Private",1401,6573,0.215020576131687,18669
"University of California at Davis","CA","Public",1070,15429,0.697485161842989,7699
"University of California at Riverside","CA","Public",982,6922,0.772198407838333,7699
"University of California at San Diego","CA","Public",1131,13738,0.59018164977101,7699
"University of San Francisco","CA","Private",977,4309,0.746313963573289,13226
"University of Southern California","CA","Private",1090,13259,0.694905552375499,17230
"Westmont College","CA","Public",1051,1276,0.750526315789472,14320
"Woodbury University","CA","Private",822,765,0.89684813753582,13020
"Concordia University","CA","Private",905,641,0.722383720930233,10800
"University of Northern Colorado","CO","Public",920,8463,0.724593128390596,7731
"Colorado State University","CO","Public",1024,15646,0.665963283393119,8412
"Mesa State College","CO","Public",851,3471,0.919191919191917,5016
"Metropolitan State College","CO","Public",855,9544,0.847095671981778,5790
"University of Southern Colorado","CO","Public",908,3716,0.884368308351175,7100
"University of Denver","CO","Private",1010,2666,0.672831203765971,15192
"Western State College of Colorado","CO","Public",890,2315,0.600666173205032,5918
"University of Colorado at Denver","CO","Public",1007,3805,0.468723936613846,9244
"Colorado Christian University","CO","Private",867,1001,0.793197278911563,6720
"Albertus Magnus College","CT","Private",890,416,0.963172804532575,13290
"Fairfield University","CT","Private",1058,2984,0.699414715719064,15000
"Wesleyan University","CT","Private",1280,2714,0.413453478625314,19130
"Howard University","DC","Private",883,6705,0.323649754500818,7128
"Mount Vernon College","DC","Private",842,203,0.469798657718121,13780
"Trinity College","DC","Private",950,309,0.765182186234816,11412
"Barry University","FL","Private",900,1811,0.79191919191919,11290
"Bethune Cookman College","FL","Private",775,2128,0.698663426488455,5188
"St. Thomas University","FL","Private",830,1125,0.752032520325203,9600
"Clearwater Christian College","FL","Private",875,409,0.968944099378884,5200
"Embry Riddle Aeronautical University","FL","Private",994,4772,0.820057124722313,7800
"Florida Atlantic University","FL","Public",990,6035,0.656711725872365,6700
"Eckerd College","FL","Private",1076,1363,0.779887482419127,15360
"Florida Southern College","FL","Private",912,1506,0.753077480086891,8025
"Lynn University","FL","Private",890,1250,0.739938080495358,13900
"Rollins College","FL","Private",1059,1668,0.647720877884076,16425
"St. Leo College","FL","Private",853,3400,0.689898989898991,9150
"University of South Florida","FL","Public",1045,14770,0.61615496112795,6760
"Webber College","FL","Private",807,327,0.510714285714285,5590
"University of Central Florida","FL","Public",997,12330,0.423561408531348,6618
"University of West Florida","FL","Public",948,3754,0.804878048780489,6172
"Flagler College","FL","Private",989,1345,0.504593639575973,5120
"Warner Southern College","FL","Private",762,397,0.699999999999999,6200
