"Date" "Team" "Team.Location" "Team.Score" "Opponent" "Opponent.Score" "Team.Result"
"11/13/15" "Cal Poly" "Away" 72 "Nevada-Las Vegas" 74 "Loss"
"11/15/15" "Cal Poly" "Away" 83 "UCLA" 88 "Loss"
"12/3/15" "Cal Poly" "Home" 73 "IPFW" 75 "Loss"
"12/5/15" "Cal Poly" "Home" 77 "Fresno State" 65 "Win"
"12/14/15" "Cal Poly" "Away" 63 "Saint Mary's (CA)" 93 "Loss"
"12/17/15" "Cal Poly" "Away" 82 "Southern California" 101 "Loss"
"12/20/15" "Cal Poly" "Away" 74 "Texas A&M-Corpus Christi" 80 "Loss"
"12/22/15" "Cal Poly" "Away" 88 "Texas-San Antonio" 73 "Win"
"12/29/15" "Cal Poly" "Away" 63 "Texas A&M" 82 "Loss"
"1/6/16" "Cal Poly" "Away" 73 "Hawaii" 86 "Loss"
"1/14/16" "Cal Poly" "Home" 73 "UC-Santa Barbara" 76 "Loss"
"1/16/16" "Cal Poly" "Home" 96 "Long Beach State" 92 "Win"
"1/21/16" "Cal Poly" "Away" 74 "Cal State Northridge" 76 "Loss"
"1/23/16" "Cal Poly" "Away" 83 "Cal State Fullerton" 75 "Win"
"1/28/16" "Cal Poly" "Home" 68 "UC-Riverside" 72 "Loss"
"1/30/16" "Cal Poly" "Away" 52 "UC-Davis" 66 "Loss"
"2/3/16" "Cal Poly" "Home" 72 "UC-Irvine" 78 "Loss"
"2/6/16" "Cal Poly" "Home" 60 "Hawaii" 75 "Loss"
"2/11/16" "Cal Poly" "Away" 70 "Long Beach State" 73 "Loss"
"2/13/16" "Cal Poly" "Away" 86 "UC-Riverside" 78 "Win"
"2/18/16" "Cal Poly" "Home" 58 "UC-Davis" 53 "Win"
"2/20/16" "Cal Poly" "Home" 71 "Cal State Northridge" 75 "Loss"
"2/25/16" "Cal Poly" "Home" 77 "Cal State Fullerton" 78 "Loss"
"3/3/16" "Cal Poly" "Away" 62 "UC-Irvine" 72 "Loss"
"3/5/16" "Cal Poly" "Away" 50 "UC-Santa Barbara" 69 "Loss"
"11/18/15" "Cal Poly" "Home" 71 "Cal State Monterey Bay" 62 "Win"
"11/28/15" "Cal Poly" "Home" 85 "Antelope Valley" 55 "Win"
